A Subject URL,TIC,Num_EB_Tags,Num_Transit_Tags,Num_Sectors,Num_EB_Adjusted,Is_EB_Catlogs,_Is_EB_inner,SIMBAD_Type,SIMBAD_IsEB,ASAS-SN_Type,ASAS-SN_IsEB,VSX_Type,VSX_IsEB,TessEB_IsEB,ExoFOP URL,In ASAS-SN but not VSX,Ra,Dec,Mag_TESS,MAX_Subject_ID,MAX_Sector,Contaminatio_Ratio
48950926,235598526,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,YSO,N/A,No-Data,235598526,#VALUE!,272.661535,18.097044,12.1665,48950926,26,0.469219
31992482,237941053,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,237941053,#VALUE!,101.258348,-53.526058,10.436,31992482,7,0.005023
30974885,248990782,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,248990782,#VALUE!,78.160539,-4.665687,9.0623,30974885,5,0.00648
36039811,254278612,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,254278612,#VALUE!,288.897553,-36.949474,6.8654,36039811,13,0.000505
48948447,255921197,6,0,1,6,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,255921197,#VALUE!,307.442123,71.418717,9.0469,48948447,26,0.015016
36021377,260352096,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,260352096,#VALUE!,94.789226,-56.946781,14.8272,36021377,13,
36030526,260659986,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,260659986,#VALUE!,98.485361,-59.960623,10.6459,36030526,13,0.018127
36035541,261205462,2,0,1,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,261205462,#VALUE!,87.569828,-79.361075,5.5386,36035541,13,0.001506
36043805,261749149,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,261749149,#VALUE!,26.707136,-82.67298,8.0411,36043805,13,0.001193
31323969,278863150,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,278863150,#VALUE!,100.643082,-58.946999,15.4657,31323969,6,
31334910,291340620,2,0,1,2,No-Data,#VALUE!,,No-Data,,No-Data,,No-Data,No-Data,291340620,#VALUE!,94.426922,6.038611,14.8244,31334910,6,0.748336
34107629,293345927,2,0,2,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,293345927,#VALUE!,98.962995,-61.102967,10.0443,34107629,10,0.026258
36047821,299778628,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,299778628,#VALUE!,36.635525,-80.038119,11.097,36047821,13,0.035922
36049500,320205468,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,320205468,#VALUE!,294.828404,-59.858367,8.3461,36049500,13,0.003707
36026668,340065168,2,0,2,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,340065168,#VALUE!,113.188748,-57.374872,8.185,36026668,13,0.006556
48951817,341615749,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,341615749,#VALUE!,154.187606,80.52128,9.15053,48951817,26,0.001893
48943266,342061072,6,1,1,5,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,342061072,#VALUE!,270.044005,21.752877,11.377,48943266,26,0.027138
48944619,348319604,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,348319604,#VALUE!,281.818421,20.68931,10.4099,48944619,26,0.258189
34471723,348898049,2,0,2,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,348898049,#VALUE!,106.06035,-62.902458,10.7548,34471723,11,0.306955
36049092,349057976,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,349057976,#VALUE!,107.321564,-64.745252,9.934,36049092,13,0.007621
36030675,349309442,2,0,2,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,349309442,#VALUE!,109.646914,-62.222913,9.1481,36030675,13,0.062107
