30279407|166874908|4
30280751|220420534|4
30859446|167717852|5
30911127|32702481|5
30919857|426588729|5
30974552|442918617|5
31363005|33689349|6
31814660|436243444|6
32571797|74627376|8
32584289|149473467|8
32588183|55524055|8
32596784|271596290|8
32610143|141809359|8
32612288|55652785|8
32614111|2353789|8
33223913|149629043|9
33280388|73201833|9
35157709|55524055|12
35168497|394452884|12
35169804|220397947|12
35170038|307085577|12
35175320|167692429|12
36022237|219373406|13
36978031|142783746|14
37754792|282925798|15
37757972|288778712|15
37758834|258799793|15
37767010|14617089|15
37769952|399788405|15
37772113|356820646|15
37776788|426803687|15
37778292|305386053|15
37860895|356974629|16
37861026|286169292|16
37872778|233532554|16
37873031|233720276|16
37873769|198358825|16
38691745|306956190|17
38693086|18250189|17
38700113|343553606|17
38702207|315810194|17
38702419|336767770|17
38703840|314459000|17
40864880|159464498|20
40868105|130158363|20
40887596|154511165|20
41018144|252791409|21
41027669|160618494|21
41029911|263635510|21
41030754|288312840|21
41032482|219771660|21
41034815|259126645|21
41418953|220474209|9
41428631|148612685|9
43272629|233679640|22
43276107|139061135|22
44563293|458481461|23
44564049|310004006|23
44564057|441690583|23
44564077|353894978|23
44564090|377192659|23
44564091|233720276|23
44564115|148781497|23
44564164|207385593|23
44564171|161744580|23
44564932|389510663|23
44565473|202490797|23
44565510|309828087|23
44565842|155915231|23
44566191|258351350|23
44566789|157968186|23
44572851|232572560|23
44579380|20239565|23
44579393|329248002|23
44662969|288471108|23
44663403|284364590|23
44664224|329246824|23
46375346|237200747|24
46375673|83222019|24
46375918|305399324|24
46377974|224308601|24
46378878|404103665|24
46379712|305399325|24
46379736|67707406|24
46380743|356340346|24
46381543|338071673|24
46381892|193994472|24
46381895|362104293|24
46385572|233679640|24
46386424|20215452|24
46388672|327121759|24
46388750|236973844|24
46389010|17468122|24
46389249|57258016|24
46390044|232629077|24
46391587|417734853|24
46392001|337886863|24
46407696|323301918|24
46413812|51960132|24
46415615|330847328|24
46415702|237069277|24
46416346|115288764|24
46418917|352110251|24
46419460|230114503|24
46419643|274238240|24
46453558|28290956|24
48213436|428772119|25
48213882|396486931|25
48215092|388602832|25
48216960|426111509|25
48217221|375853985|25
48217354|444801274|25
48218300|224606205|25
48218411|279081935|25
48218453|198242676|25
48219123|257648522|25
48219564|232629077|25
48221405|461625381|25
48222875|379628820|25
48224154|468276605|25
48224556|303255899|25
48225003|359497418|25
48226208|237234024|25
48227121|233060434|25
48227275|388508344|25
48227411|207398432|25
48227441|353894978|25
48228820|428987718|25
48229030|420645952|25
48230256|420757505|25
48230327|458842028|25
48230435|7854182|25
48230723|276232142|25
48928836|396486931|26
48929847|159510983|26
48929910|199662929|26
48930609|233006806|26
48931595|377190161|26
48933403|470124714|26
48934888|76073981|26
48935323|441794509|26
48936188|287256222|26
48936249|309998013|26
48937877|342010156|26
48938078|123416563|26
48938125|258923466|26
48939416|237290473|26
48940590|356150515|26
48941862|158321843|26
48942413|441804888|26
48942511|423027012|26
48943266|342061072|26
48943608|7854182|26
48944563|198242676|26
48946399|299160301|26
48946848|428795527|26
48947999|193774939|26
48948447|255921197|26
48948452|407515765|26
48948519|157889314|26
48950809|230114503|26
28395705|143924219|1
28396019|126602778|1
28398411|99465976|1
28401237|91448148|1
28404107|70442570|1
28412808|44623916|1
28413642|152223725|1
28418055|149473467|1
28419118|33862174|1
28426163|231714759|1
28427497|201291281|1
28427899|229804573|1
28429743|220521199|1
28444125|410354930|1
28455457|303909865|1
28459513|293480903|1
28461460|270341486|1
28462000|260131665|1
28464212|269762258|1
28465609|279254042|1
28466601|265613590|1
28466612|265613590|1
28469321|261656371|1
28473056|441183795|1
28474488|419744996|1
28541208|220015845|2
28546799|120566395|2
28558154|358108063|2
28563781|55404385|2
28569492|41896812|2
28577588|155540827|2
28582234|31653503|2
28586315|281498280|2
28591547|273792220|2
28596928|260161144|2
28619959|229810745|2
29660760|129764561|3
29661006|63941711|3
