9172417|62.057856|-5.757176|04:08:13.89|-05:45:25.83|15.489|13.18||11.8499|82.21007|0.5687|0.561768|3551|true|UCAC4 422-005493, 2MASS J04081379-0545235, WISE J040813.84-054525.3, APASS 2956112
9391285|167.612186|36.545342|11:10:26.92|36:32:43.23|11.445|10.769||10.4231||1.10602||5970.92|true|TYC 2522-02117-1, UCAC4 633-047666, 2MASS J11102694+3632437, WISE J111026.93+363243.4, APASS 49886741
9433212|73.546858|-9.498234|04:54:11.25|-09:29:53.64|12.971|12.318||11.6917|428.507|1.39696|1.06|5878|true|UCAC4 403-007166, 2MASS J04541123-0929532, WISE J045411.23-092953.5, APASS 2998673
9845586|48.216449|-7.738988|03:12:51.95|-07:44:20.36|12.888|12.546|12.3422|11.6956|384.651|1.30609|1.03|5755.35|true|UCAC4 412-003821, 2MASS J03125196-0744200, SDSS DR9 1237652900232102002, WISE J031251.93-074420.6, APASS 2921372
9966358|50.728795|-7.069804|03:22:54.91|-07:04:11.3|10.05|9.59||9.14774|155.375|1.37028|1.34|6518|true|HIP 15751, BD-07 589, TYC 4715-00058-1, WISE J032254.90-070411.5, 2MASS J03225494-0704120, UCAC4 415-004313, APASS 2926903
10393493|267.736048|33.545821|17:50:56.65|33:32:44.96|13.334|12.658||12.1071|580.306|1.41577|1.19|6200|true|UCAC4 618-059180, 2MASS J17505665+3332450, WISE J175056.66+333244.9, APASS 48626122
10467747|268.039564|32.130083|17:52:09.5|32:07:48.3|11.592|10.826||10.0992|104.714|0.849749|0.897|5248|true|TYC 2612-01983-1, UCAC4 611-057881, 2MASS J17520950+3207496, WISE J175209.50+320748.6, APASS 48627104
11171398|122.525747|-22.102452|08:10:06.18|-22:06:08.83|16.762|15.29||13.2116|100.545|0.444121|0.440242|3550|true|UCAC4 340-043912, 2MASS J08100604-2206075, WISE J081006.13-220608.4
11286209|84.696693|-2.59459|05:38:47.21|-02:35:40.52|6.259|6.75947||6.8524|434.015||||false|TYC 4771-01194-1, UCAC4 438-011201, 2MASS J05384719-0235405, WISE J053847.20-023540.4, APASS 762549
12824209|33.830021|65.482715|02:15:19.2|65:28:57.78||17.38||14.9063|65.4731|0.165096|0.135876|3446|true|UCAC4 778-010317, 2MASS J02151854+6528518
12828458|33.919192|64.829963|02:15:40.61|64:49:47.87|16.929|15.009||12.8312|110.21|0.564288|0.557927|3499|true|UCAC4 775-013362, 2MASS J02154050+6449483, WISE J021540.57+644948.0, APASS 58848604
12915124|304.987054|37.835342|20:19:56.89|37:50:07.23|12.853|11.928||11.3382|1945.3||||false|UCAC4 640-091562, 2MASS J20195689+3750073, WISE J201956.89+375007.4, APASS 50535183
13070701|75.889889|-25.365719|05:03:33.57|-25:21:56.59|11.611|11.329||10.8523|437.174|1.64353|1.46|6797|true|TYC 6477-00224-1, UCAC4 324-006399, 2MASS J05033359-2521557, WISE J050333.57-252156.3, APASS 13201193
13079486|36.081395|63.713061|02:24:19.53|63:42:47.02|17.036|14.041||12.8145|84.4173|0.46571|0.463168|3486|true|UCAC4 769-019185, 2MASS J02241939+6342476, WISE J022419.44+634247.9, APASS 59130437
13325340|78.637075|-25.32832|05:14:32.9|-25:19:41.95|13.026|12.512||11.9279|581.453|1.63169|1.09|5959|true|UCAC4 324-006831, 2MASS J05143288-2519418, WISE J051432.89-251941.9, APASS 13203569
13840107|37.688532|63.050345|02:30:45.25|63:03:01.24|17.062|15.61||12.4555|62.8962|0.429152|0.423959|3424|true|UCAC4 766-023065, 2MASS J02304530+6303020, WISE J023045.26+630301.5, APASS 58518287
13957444|75.487833|-37.039373|05:01:57.08|-37:02:21.74|9.224|8.721||8.2807|93.6991|1.52603||6313.7|true|TYC 7053-00827-1, UCAC4 265-005900, 2MASS J05015707-3702223, WISE J050157.07-370221.9
14617089|306.315689|37.55494|20:25:15.77|37:33:17.78|13.805|13.304||11.9411|2366.02|11.6899||11962|false|UCAC4 638-093935, 2MASS J20251576+3733178
14850843|114.263117|15.035595|07:37:03.15|15:02:08.14|12.565|11.68|14.758|10.9598|144.858|0.788761|0.899|5255|true|TYC 1361-00706-1, UCAC4 526-043466, 2MASS J07370322+1502094, SDSS DR9 1237673807041003928, WISE J073703.18+150208.5, APASS 43488818
17468122|242.788207|35.129179|16:11:09.17|35:07:45.04|10.066|9.56||9.08498|147.865|1.3864|1.244|6317|true|HIP 79309, BD+35 2786, TYC 2579-01474-1, WISE J161109.20+350744.6, 2MASS J16110927+3507436, UCAC4 626-052482, APASS 49912953
18250189|22.999455|29.822777|01:31:59.87|29:49:22|15.489|15.302|15.1176|15.1997|542.694||||false|UCAC4 600-004020, 2MASS J01315985+2949220, SDSS DR9 1237680333796343944, WISE J013159.86+294921.9, APASS 47650050
18914916|118.923097|13.805892|07:55:41.54|13:48:21.21|12.648|11.81|11.6701|11.1478|182.644|0.834449|0.961|5486.26|true|UCAC4 520-044979, 2MASS J07554155+1348213, SDSS DR9 1237667212112625939, WISE J075541.55+134821.2, APASS 40837558
19193162|123.798227|-6.315017|08:15:11.57|-06:18:54.06|9.476|9.121||8.8788|424.239|3.64617|1.62|7213|true|TYC 4860-01497-1, UCAC4 419-043948, 2MASS J08151158-0618540, WISE J081511.57-061854.2, APASS 3649889
20215452|227.316693|36.033467|15:09:16.01|36:02:00.48|13.693|12.882|12.6047|12.0862|218.344|1.01757|0.71|4539.46|true|UCAC4 631-051621, 2MASS J15091604+3602002, SDSS DR9 1237661872417996920, WISE J150916.01+360200.4, APASS 49902957
20239565|227.791657|38.951185|15:11:10|38:57:04.27|9.446|8.84||8.27331|107.099|1.61893|1.075|5909.33|true|HIP 74298, SAO 64545, HD 134920, BD+39 2841, 2MASS J15111013+3857031, TYC 3045-01175-1, WISE J151110.02+385703.8, UCAC4 645-052655, APASS 50381055
20871923|42.132556|45.035644|02:48:31.81|45:02:08.32|12.542|11.744|11.6368|10.9584|131.971|0.836241||4938|true|TYC 3296-01821-1, UCAC4 676-015097, 2MASS J02483177+4502085, SDSS DR9 1237661059571449877, WISE J024831.80+450208.3, APASS 53440623
20876588|42.284042|44.252198|02:49:08.17|44:15:07.91|11.906|11.833||10.9441|672.474|2.69339|1.33|6505.5|true|TYC 2857-01075-1, UCAC4 672-014470, 2MASS J02490817+4415080, WISE J024908.17+441507.9, APASS 52108581
21827849|181.700006|-42.534481|12:06:48|-42:32:04.13|15.989|15.104||14.3833|897.148|1.01144|1.02|5728|false|UCAC4 238-057605, 2MASS J12064801-4232039, WISE J120648.00-423204.0, APASS 20633081
22079739|148.147825|-27.117969|09:52:35.48|-27:07:04.69|18.168|16.944||15.2041||0.451947|0.448632|3753|true|UCAC4 315-061543, 2MASS J09523546-2707045, WISE J095235.47-270704.5
22146154|148.762986|-25.133167|09:55:03.12|-25:07:59.4|11.186|10.481||9.98603|231.147|1.5306|1.147|6101|true|TYC 6608-00533-1, UCAC4 325-060486, 2MASS J09550321-2507592, WISE J095503.14-250759.3, APASS 12527942
22529346|107.600231|-39.09727|07:10:24.06|-39:05:50.17|10.997|10.514||10.056|269.898|1.52253|1.45|6776|true|WASP-121, TYC 7630-352-1, WISE J071024.05-390550.3, 2MASS J07102406-3905506, 1SWASP J071024.05-390550.5, UCAC4 255-014017, APASS 17741406
22843856|39.006522|25.588461|02:36:01.57|25:35:18.46|11.09|10.511||9.8203|163.49|1.23599||6019|true|TYC 1771-00691-1, UCAC4 578-005747, 2MASS J02360156+2535185, WISE J023601.56+253518.5, APASS 47437218
22877676|204.996028|37.978753|13:39:59.05|37:58:43.51|10.211|9.65||9.1957|128.992|1.55579||6240.96|true|HIP 66664 A, WDS J13400+3759 B, BD+38 2467, 2MASS J13395907+3758432 A, TYC 3026-01025-1 A, WISE J133959.05+375843.5 A, UCAC4 640-048467, APASS 50366617
23221002|47.469878|-6.892634|03:09:52.77|-06:53:33.48|11.483|10.63||10.2625|236.925|1.44587|1.08|5923.25|true|HIP 14699, UX Eri, BD-07 553, 2MASS J03095273-0653337, TYC 4713-00248-1, WISE J030952.75-065333.5, UCAC4 416-003925, APASS 2919710
23936839|276.067089|35.241259|18:24:16.1|35:14:28.53|13.619|13.051||12.2439|||||false|UCAC4 627-058784, 2MASS J18241610+3514284, WISE J182416.10+351428.5
24433067|82.000781|-33.577121|05:28:00.19|-33:34:37.64|12.169|11.06||10.4561|468.182|3.53554||5031|false|TYC 7059-01175-1, UCAC4 283-007055, 2MASS J05280017-3334369, WISE J052800.18-333437.4, APASS 15125308
24522770|80.247854|-6.704607|05:20:59.48|-06:42:16.58|12.634|12.064||11.4615|597.114|2.128|1.14|6081|true|UCAC4 417-008704, 2MASS J05205947-0642165, WISE J052059.48-064216.5, APASS 3035582
24586751|83.711506|-30.420853|05:34:50.76|-30:25:15.07|11.968|11.385||10.9872|351.761|1.4557|1.18|6172|true|TYC 7056-00540-1, UCAC4 298-007564, 2MASS J05345075-3025145, WISE J053450.75-302514.9, APASS 15133930
24606516|80.802363|-9.12845|05:23:12.57|-09:07:42.42|12.783|12.36||11.749|657.947|2.0624|1.14|6086|true|TYC 5332-00992-1, UCAC4 405-008893, 2MASS J05231256-0907423, WISE J052312.56-090742.3, APASS 3039084
25078924|60.930974|-65.972806|04:03:43.43|-65:58:22.1|11.839|11.327||10.705|228.492|1.21763|1.02|5737|true|TYC 8874-00898-1, UCAC4 121-003572, 2MASS J04034341-6558223, WISE J040343.40-655822.2, APASS 32422028
25183492|97.980063|-7.083219|06:31:55.22|-07:04:59.59|12.575|11.802||10.7909|101.409|0.777196|0.739|4647|true|TYC 4810-00181-1, UCAC4 415-015796, 2MASS J06315520-0704593, WISE J063155.21-070459.4, APASS 3168777
26432264|56.670328|32.290143|03:46:40.88|32:17:24.51|6.735|6.659||6.57847|285.832|5.41873||9186|false|HIP 17631, HD 23478, BD+31 649, 2MASS J03464087+3217247, TYC 2360-00780-1, SAO 56695, UCAC4 612-010670, APASS 48419316
27112021|200.065718|17.765473|13:20:15.77|17:45:55.7|7.724|7.21932||6.6615|76.51109|||6179|true|HIP 65069 A, KR Com, SAO 100517, WDS J13203+1746 A, BD+18 2716, 2MASS J13201579+1745572 A, TYC 1461-00806-1 A, WISE J132015.77+174556.2 A, HD 115955, UCAC4 539-052638
