Subject_ID|eb_like_count|transit_like_count|comment_count|tag_count_json
44566789|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eclipsing_binary":1,"#beta-lyr":1}
44572851|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
44579380|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
44579393|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
44662969|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
44663403|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
44664224|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#contactbinary":1}
46375346|5|2|10|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#false-positive":1,"#trinary":1,"#possible":1,"like#transit":2,"#transit":1}
46375673|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46375918|6|0|9|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#solartwin":1}
46377974|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46378878|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46379712|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46379736|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46380743|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1,"#algol":1}
46381543|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
46381892|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46381895|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1}
46385572|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46386424|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46388672|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46388750|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46389010|5|1|7|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#possible":1,"like#transit":1}
46389249|6|2|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transit":1,"like#transit":2,"#possibletransit":1}
46390044|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46391587|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1}
46392001|6|0|9|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#stellar_variability":1,"#eclipsing_binary":1,"#algol_type":1}
46407696|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1}
46413812|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#occultation":1,"#sso":1}
46415615|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1}
46415702|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46416346|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46418917|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46419460|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46419643|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
46453558|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48213436|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#w-uma":1,"#contactbinary":2}
48213882|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48215092|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48216960|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48217221|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48217354|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1}
