22843856|TYC 1771-691-1|*|11.09|10.51|||2MASS J02360156+2535185, GSC 01771-00691, TYC 1771-691-1, Gaia DR2 126206278258814336
22877676|BD+38 2467|*|10.21|9.66||0.45|
23221002|V* UX Eri|EB*|11.61|10.97||0.4|
23936839|1SWASP J182416.12+351428.1|EB*|||12.862|0.06|
24433067|CD-33 2343|Al*|12.17|11.06|||CRTS J052800.1-333437, TYC 7059-1175-1, CD-33 2343, 2MASS J05280017-3334369, ASAS J052800-3334.6, 1RXS J052800.4-333432, ASAS J052800-3334.5, RAVE J052800.2-333437, Gaia DR1 4823262910656677248, Gaia DR2 4823262914953734016
24522770|EBLM J0520-06|Al*|||||Gaia DR2 3207578436755544960, EBLM J0520-06
24586751|V* RU Col|Al*|11.97|11.402|11.269||CRTS J053450.9-302517, 2MASS J05345075-3025145, AN 8.1942, CD-30 2503, GSC 07056-00540, TYC 7056-540-1, V* RU Col, SV* SON 3268, UCAC4 298-007564, 1SWASP J053450.76-302514.6, Gaia DR1 2905533006239331328, Gaia DR2 2905533010535981696
24606516|ASAS J052313-0907.7|EB*|12.78|12.36|||2MASS J05231256-0907423, [GGM2006] 14989557, TYC 5332-992-1, ASAS J052313-0907.7, NSVS 14989558, CRTS J052312.5-090742, Gaia DR1 3014312158340197888, Gaia DR2 3014312158340197888
25078924|ASAS J040340-6558.2|EB*|11.84|11.403||0.3|
25183492|ASAS J063155-0705.0|Ro*|12.57|11.8|||ASAS J063155-0705.0, 1RXS J063155.5-070505, GSC 04810-00181, UCAC2 29230050, UCAC3 166-35086, 2MASS J06315520-0704593, TYC 4810-181-1, DENIS J063155.2-070459, Gaia DR1 3006922684287256704, Gaia DR2 3006922684287256704
26432264|HD 23478|Be*|6.708|6.671||0.21|
27112021|V* KR Com|WU*|7.72|7.207||1.31|
27312189|TYC 3934-1568-1|*|12.18|11.81||0.08|
27315670|TYC 3934-1904-1|*|11.6|11.29||0.19|
27397122|||||||
28290956|BD+39 2812|SB*|10.84|10.25|||TIC 28290956, AG+39 1468, BD+39 2812, GSC 03044-00862, HIC 73088, HIP 73088, PPM 78233, SAO 64415, TYC 3044-862-1, 2MASS J14561340+3911234, Gaia DR1 1296370526075240576, Gaia DR2 1296370530371482112
29777922|||||||
29778064|CRTS J041725.0-662415|EB*||12.38|||CRTS J041725.0-662415
29831208|||||||
29986808|||||||
30016911|HD 17925|RS*|6.91|6.05|5.34|6.82|
30028394|ASAS J025347-1307.7|EB*|12.54|12.03||0.32|
30034081|V* AT Men|Al*|11.68|11.08||0.17|
30312916|||||||
30531417|||||||
30562668|||||||
30631330|||||||
30816076|LEDA 2817139|G||||105.86|
31107108|||||||
31273263|||||||
31303242|TYC 6484-426-1|*|11.22|10.71|||2MASS J05311365-2709042, GSC 06484-00426, TYC 6484-426-1, Gaia DR1 2908533367312086144, Gaia DR2 2908533371609754112
31653503|V* RZ Hor|EB*|11.817|11.385|11.299||SV* HV 11914, V* RZ Hor, 2MASS J03052423-6641034, TYC 8866-1112-1, RAVE J030524.2-664104, Gaia DR1 4671668569611227264, Gaia DR2 4671668569611227264
31870141|HD 22527|PM*|7.99|7.48||1.56|
31998499|TYC 8873-725-1|PM*|11.549|10.961||0.94|
32000625|TYC 9155-22-1|*|12.6|12.02|||TYC 9155-22-1, RAVE J034357.1-712845, 2MASS J03435710-7128445, Gaia DR2 4642053155197039104
32008233|2MASS J07465548-0934305|CV*|13.8||14|0.18|
32093154|TYC 9156-1783-1|*|12.72|12.42|||TYC 9156-1783-1, 2MASS J03550815-7135597, Gaia DR1 4665814597906278912, Gaia DR2 4665814602201952640
32152978|TYC 9156-1369-1|*|12.81|12.45|||TYC 9156-1369-1, 2MASS J03573410-7044186, Gaia DR1 4665971553190769408, Gaia DR2 4665971557486822272
32702481|CD-28 2406|Al*|10.33|9.678|||CD-28 2406, CPD-28 975, GSC 06502-00111, PPM 249298, SAO 170752, TYC 6502-111-1, YZ 118 2492, 1RXS J054407.8-283638, 2MASS J05440750-2836380, ASAS J054407-2836.6, Gaia DR1 2904632162618374400, Gaia DR2 2904632162618374400
32932888|||||||
33689349|TYC 5937-103-1|*|11.39|10.98|||2MASS J06114342-1741001, GSC 05937-00103, TYC 5937-103-1, Gaia DR1 2943015563788567168, Gaia DR2 2943015568086195968
33715938|V* BF Hyi|Al*|11.47|10.74|||2MASS J04040317-7427128, CSV 388, GSC 09159-00225, TYC 9159-225-1, V* BF Hyi, SV* SON 4831, RAVE J040403.2-742713, Gaia DR1 4629236113793068160, Gaia DR2 4629236113793068160
33742428|V* HY CMa|bL*|10.33|9.318|||2MASS J06123880-1648363, 2RE J061238-164838, 2RE J0612-164, BD-16 1396, GEN# -0.01601396, GSC 05933-01801, PPM 216849, RE J0612-164, RE J061236-164758, SAO 151224, TYC 5933-1801-1, UBV 6263, UBV M 5474, V* HY CMa, YZ 106 1953, 1RXS J061238.7-164839, EUVE J0612-16.7, ASAS J061238-1648.5, Gaia DR1 2944608653059127808, Gaia DR2 2944608653059127808
33834253|V* VX Hyi|Al*|12.32|11.88|||SV* HV 11974, SV* SON 4835, V* VX Hyi, TYC 9159-1475-1, GSC 09159-01475, UCAC2 1006499, UCAC3 34-17545, 2MASS J04145344-7321374, Gaia DR2 4653416302929032960
33862174|V* SW Men|Al*|12.25|12.04|||GSC 09368-00504, SV* SON 6723, V* SW Men, 2MASS J04195071-7748211, ASAS J041950-7748.3, TYC 9368-504-1, Gaia DR1 4627523418274306176, Gaia DR2 4627523418274306176
33864821|TYC 9157-388-1|*|11.872|11.29|11.138||TYC 9157-388-1, RAVE J042245.8-720524, 2MASS J04224578-7205236, Gaia DR1 4653600741710371456, Gaia DR2 4653600746005071616
34978817|* 56 Ari|a2*|5.64|5.76|||2MASS J03121424+2715250, * 56 Ari, AG+27 324, BD+26 523, CEL 304, GC 3821, GCRV 1765, GEN# +1.00019832, GSC 01791-01519, HD 19832, HIC 14893, HIP 14893, HR 954, PPM 92289, SAO 75788, SKY# 4798, TD1 1964, TYC 1791-1519-1, UBV 21410, UBV M 9378, V* SX Ari, YPAC 312, YZ 27 1600, Renson 4910, uvby98 100019832, WEB 2874, Gaia DR2 118591610481186688
35086365|HD 20211|*|8.21|8.12|||2MASS J03153989+2432370, AG+24 275, AGKR 2868, BD+24 457, GSC 01788-00923, HD 20211, HIC 15181, HIP 15181, PMC 90-93 1964, PPM 92328, SAO 75818, TD1 2019, TYC 1788-923-1, YZ 24 955, uvby98 100020211, Gaia DR1 111225153156837248, GEN# +1.00020211, Gaia DR2 111225157454539264
35744707|NSVS 12092067|EB*||12.5||0.44|
36728572|HD 16787|*|9.84|9.35||0.22|
36729364|[GGM2006] 12092852|EB*|13.55|12.73|||USNO-B1.0 0836-00026106, [GGM2006] 12092852, 2MASS J02414305-0621488, RAVE J024143.1-062149, NSVS 12092853, DENIS J024143.0-062148, CRTS J024143.0-062149, Gaia DR2 5177976803569959936
37601240|V* IQ CMa|bL*|9.45|9.2|||2MASS J06123725-2516074, CD-25 3017, CPD-25 1316, GSC 06509-02033, HD 42949, HIC 29474, HIP 29474, PPM 250012, SAO 171391, TYC 6509-2033-1, V* IQ CMa, YZ 115 3348, Gaia DR1 2912061012930948352, Gaia DR2 2912061017229342848
38399380|TYC 5303-939-1|EB*|12.79|11.864||0.26|
38461578|TYC 8874-424-1|*|12.57|11.57|||TYC 8874-424-1, RAVE J040456.1-651303, 2MASS J04045611-6513026, Gaia DR1 4669804004048631680, Gaia DR2 4669804004048631680
38462492|TYC 8871-911-1|*|12.087|11.55|11.434||TYC 8871-911-1, RAVE J040612.1-634918, 2MASS J04061205-6349176, Gaia DR1 4676158390983241216, Gaia DR2 4676158395278021888
38465274|ASAS J034033-0856.9|EB*|12.2|11.78|||ASAS J034033-0856.9, TYC 5303-869-1, NSVS 14835150, 2MASS J03403275-0856514, Gaia DR1 5164418931846352768, Gaia DR2 5164418936142361984
38469787|||||||
38541473|TYC 5307-519-1|*|11.888|11.28||0.39|
38586438|UCAC3 56-8629|EB*|15.37|13.88|13.55|1.6|
38687360|V* BV Eri|EB*|8.69||||2MASS J03515335-1031494, SBC9 202, AN 168.1932, BD-10 763, CSV 359, GSC 05307-00083, HD 24327, HIC 18080, HIP 18080, PPM 213498, SAO 149215, TYC 5307-83-1, V* BV Eri, YZC 11 897, Gaia DR1 3194189580584634624, WEB 3486, Gaia DR2 3194189584882388096
38699825|V* VW Ret|Al*|9.13|8.73||0.23|
38909679|HD 29920|*|6.96|6.78|||2MASS J04384928-6222427, CD-62 177, CPC 20.1 1009, CPD-62 376, GC 5696, GSC 08880-01118, HD 29920, HIC 21634, HIP 21634, PPM 354248, SAO 249072, SKY# 7215, TYC 8880-1118-1, Gaia DR1 4677058169451595392, Gaia DR2 4677058173749168640
39389004|LSPM J1728+3056|PM*|||||TYC 2605-1628-1, ASCC 598366, 2MASS J17282997+3056221, USNO-B1.0 1209-00263438, LSPM J1728+3056, WISEA J172829.79+305620.9, Gaia DR1 4600023051915067136, Gaia DR2 4600023021852315776
40288117|V* V885 Cyg|bL*|10.2|9.99||0.09|
41170667|HD 271843|*|11.18|10.66||0.08|
41533230|HD 272103|*|12.03|11.31||0.07|
41896812|V* CT Phe|Al*|11.9|11.222|11.28|0.45|
42828781|HD 295082|*|10.63|10.28|||2MASS J06275728-0337316, HD 295082, TYC 4789-1175-1, Gaia DR1 3104668409003978240, Gaia DR2 3104668413303476096
43333148|BD+19 3307|*|9.53|9.12||0.5|
43533897|NSVS 14970777|EB*|12.24|11.37||0.41|
43843023|BD-09 1089|*|10.35|9.64|||BD-09 1089, PPM 187778, TYC 5334-220-1, Gaia DR2 3182600457447453184
43864479|ASAS J051134-1034.4|EB*|11.92|11.32|||ASAS J051134-1034.4, V* V2804 Ori, 2MASS J05113411-1034236, GSC 05334-00928, TYC 5334-928-1, NSVS 14978942, Gaia DR2 2990232754910113152
44623916|TYC 8007-773-1|EB*|11.18|10.711|10.636||GSC 08007-00773, TYC 8007-773-1, 2MASS J22445276-4200455, UCAC4 240-182765, 1SWASP J224452.75-420045.6, Gaia DR1 6544604164155775872, Gaia DR2 6544604168450471168
44737596|||||||
44743153|LEDA 744762|G|||||LEDA 744762
44790502|V* BW Eri|bL*|10.55|10.23|||2MASS J04063674-2740075, AN 623.1935, CD-28 1406, CPD-28 463, CSV 382, GSC 06462-00610, PPM 247115, SAO 169130, TYC 6462-610-1, V* BW Eri, YZ 117 1648, uvby98 -002801406 V, NSVS 17634715, Gaia DR1 4889204368186244096, Gaia DR2 4889204372482883584
44797681|UNSW-V 348|EB*||||0.24|
44890224|||||||
